Ime,Kategorija,Težavnost,Čas (min),Hranilna vrednost (kcal/100g),Koraki,Sestavine,Opis,Dolžina opisa (besede),Dolžina opisa (črke) 
Toskanska paradižnikova juha s kruhom (Pappa al Pomodoro),Juhe in jedi na žlico,1,68,58,6,8,"Zelo enostavna juha, narejena iz preprostih domačih sestavin, ki jo obogatimo z dobrim olivnim oljem in baziliko. Recept izvira iz Toskane, kjer jo strežejo kot toplo ali hladno predjed. Kot velja za vse preproste italijanske jedi, je tudi ta juha najboljša, ko je narejena iz kakovostnih sestavin, zato je odlična izbira v sezoni domačega, na soncu dozorelega paradižnika. V juhi tudi na okusen način porabimo star kruh in tako 'ubijemo dve muhi na en mah'.",75,384
Jogurtove rezine z bezgom in jagodami,Pecivo,1,75,151,8,13,"Odlično pecivo za praznovanja in zabave, ki vas bo navdušilo s svežino in odličnim okusom.",15,76
Počasi pečeno svinjsko pleče s papriko,Meso,1,185,152,5,9,"Se sprašujete, kako še lahko porabite paprike, ki so trenutno v sezoni? Poskusite jih v kombinaciji s počasi pečenim svinjskim mesom. Za ljubitelje mesa bo to poslastica in pol.",29,149
Čokoladni krofki,Sladice,1,45,440,6,15,"Ljubitelji čokolade, pozor! Tukaj je recept za najboljše puhaste čokoladne krofke, oblite z belo in temno čokolado. Narejeni so iz ovsenih kosmičev in lešnikovega masla ter z dodatkom beljakovin za bolj uravnoteženo sladico.",33,192
Bučkini polpeti s sirom in zelenjavo,Zelenjava,1,50,89,5,13,Odlični zelenjavni polpeti bogatega okusa so dobri tako topli kot tudi hladni in se prilegajo k skoraj vsaki jedi. S skledo zelene solate pa so tudi odličen samostojen obrok. Zraven naredite jogurtovo/smetanovo (p)omako in lahek ter nasiten obrok bo hitro na vaši mizi.,43,227
Narastek z ajdovo kašo in piščancem,Video recepti,1,70,225,3,8,"Ne boste verjeli, kako hitro lahko pripravite okusen obrok z ajdovo kašo. Potrebujete samo pekač, v katerega v plasteh naložite vse sestavine, delo pa bo dokončala pečica. Celoten postopek priprave narastka si oglejte v spodnjem videu.",36,200
Gibanica na hitro ali zmečkana sirnica,Balkanska,1,60,186,7,10,"Imate radi sirnico oziroma sirovo pito in se bojite, da vam ne bo uspela, če jo poskusite sami narediti? Ta recept je kot nalašč za vse kuharje, ki niso dovolj spretni in samozavestni, primere pa je tudi za vse tiste, ki vam velikokrat primanjkuje časa. Recept je hiter, poceni in preprost, okus sirnice pa je vrhunski, zato bo večkrat na vaši mizi.",62,288
Vegi 'tunin' namaz,Namazi,1,15,106,6,17,"Osnova namaza je čičerika, morski priokus pa mu dajo posušene nori alge. Majonezo lahko uporabite kupljeno, če imate čas in radi eksperimentirate, pa lahko naredite tudi domačo iz tofuja in indijskih oreščkov. Tudi francoska solata se odlično obnese z domačo majonezo.",41,228
Džuveč riž,Balkanska,1,45,112,4,13,"Priljubljena poletna jed, pripravljena iz riža in veliko zelenjave. Džuveč lahko skupaj s skledo solate ponudimo kot samostojen obrok, drugače pa je izvrsten tudi kot priloga pleskavicam, čevapčičem, ražnjičem in pečenemu piščančjemu mesu.",33,207
Ratatouille s sirovo omako,Zelenjava,1,50,108,5,17,"Združite svetovno znano francosko jed s slastno sirovo omako in navdušite svoje goste. Priprava vseh komponent je hitra in enostavna, jed pa lahko spečete v dveh ali več manjših ali enem večjem okroglem pekaču.",34,177
Piščanec s papriko in rižem v pečici,Kaj skuhati,1,65,116,6,12,"Enostavna jed, ki bo navdušila vso družino, še zlasti pa tistega, ki jo bo skuhal, saj je njena priprava silno enstavna. Pa tudi posode ne boste veliko umazali, saj je celotna jed pripravljena v enem pekaču.",36,172
Kvašene kumare,Domači pripravki,1,10,156,6,12,"Za pripravo kvašenih kumar, ki jim v Prekmurju pravijo tudi 'skvašeni ugorki' ali 'pocani murki', je najbolje uporabiti kumarice za vlaganje, ki so že malo prerastle. Kvašene kumare so hitro pripravljene, a jih moramo zaradi kratkega roka uporabe tudi hitro porabiti. To vam ne bo predstavljajo problema, saj so odlična priloga kuhani klobasi in narezkom, tradicionalno pa se servirajo potresene z mleto papriko in postrežene s kosom kruha z zaseko.",70,380
Čokoladna lazanja,Sladice,1,30,396,5,11,"Idealna sladica za poletne dni, saj jo pripravite hitro in brez peke. Primerna tudi za zabave in praznovanje rojstnih dni.",20,103
Stročji fižol v omaki,Poletje,1,55,45,6,7,"Priljubljena poletna priloga ali samostojna jed iz stročjega fižola, paradižnika, česna in čebule.",13,86
Tunin narastek s skuto in sirom,Glavne jedi,1,60,128,10,17,"Narastek je sočen, slasten in nasiten, njegova priprava pa od vas tudi ne bo terjala pretiranega truda in napora. Predstavlja okusen samostojen obrok, ki ga lahko dopolnite s skledo solate, obvezno pa ga postrezite s pekočim smetanovim prelivom, ki mu bo dodal ključno piko na i.",46,234
Borovničeva pita,Sladice,2,155,269,10,14,"Odlična sladica, ki je tako dobra, da vam en kos zagotovo ne bo dovolj.",14,58
Tiramisu rolada,Sladice,1,30,352,7,8,"Tiramisu je ena najbolj poznanih sladic, ki smo jo vsi zagotovo že kdaj pripravili. Še zlasti v poletnem času se z njim radi sladkamo, saj za njegovo pripravo ne rabimo prižigati niti štedilnika niti pečice. Presenetimo domače z malo drugačnim izgledom te noro dobre poslastice.",45,234
Riževa skleda z zelenjavo in avokadovim prelivom,Fit,1,30,183,5,21,"Jed, ki vas bo v poletnih dneh osvežila, obenem pa nasitila. Je polna zdravih dobrot, kar jo naredi še posebej okusno, pa je slasten preliv.",25,116
Svinjski zrezki v omaki z ajvarjem,Meso,1,35,125,5,9,"Hitro pripravljeni zrezki iz kareja v slastni ajvarjevi omaki. Servirajte jih skupaj z najljubšo prilogo ali kakšnim kosom kruha, da boste lahko omako in krožnike pomazali do zadnje kapljice.",29,163
Njoki po sorentinsko,Italijanska,2,95,151,6,12,"Sorentinska omaka je specialiteta južnoitalijanskega obmorskega mesta Sorrenta, ki se nahaja v neposredni bližini Neaplja. Omaka je pripravljena zgolj iz zrelih paradižnikov, česna, olivnega olja in sveže bazilike, a ko jo zmešamo z domačimi krompirjevimi njoki, ki jim dodamo na koščke narezano mocarelo, ter vse skupaj na hitro potisnemo pečico, dobimo nekaj božansko dobrega in okusnega. Verjemite nam, da boste krožnike pomazali do zadnje kapljice!",65,388
Piščančje kroglice v omaki s papriko,Kosilo,1,60,97,6,14,"Spremenite dobrote z domačega vrta v okusen obrok in si pripravite piščančje kroglice v paradižnikovi omaki s papriko. Če imate radi pikantne jedi, v omako nasekljate tudi malo svežega čilija, piščančje meso pa po želji nadomestite manj mastno svinjino ali govedino. Za prilogo ponudite kuhan riž ali pire krompir.",49,266
Namaz iz belega fižola in pečenega česna,Namazi,1,60,216,3,8,"Ideja, da bi v namaz dodali celo glavico česna, se bo komu morda zdela nekoliko nenavadna, a ima pečen česen za razliko od svežega bolj blag in prijeten okus. Med peko se namreč zmehča in karamelizira, s čimer izgubi ostrino ter dobi nekoliko sladkast okus, ki se dobro ujame z belim fižolom. Namaz je odličen na svežem kruhu, postrežete pa ga lahko tudi s krekerji, grisini in narezano zelenjavo.",69,329
Pistacijeva rolada z malinami,Pecivo,2,50,343,8,10,"Če imate radi pistacije, vas bo ta rolada naravnost navdušila. Sladica je sočna ter bogatega, polnega in kremastega okusa.",19,104
Sladek bučkin kruh z lešniki,Pecivo,1,65,283,6,10,"Da ne boste bučke vedno uporabljali zgolj v slanih jedeh, jih lahko uporabite tudi pri pripravi okusnega in sočnega sladkega kruha oziroma kolača in se tako prepričate, da sodijo tudi v sladice. Za dodatno hrustljavost smo v kruh dodali tudi lešnike, ki pa jih lahko po želji nadomestite tudi z orehi.",51,251
Hitro kokosovo pecivo,Sladice,1,80,374,7,18,"Kremasto in sočno pecivo, s katerim boste navdušili svoje goste. Priprava vseh komponent je izredno hitra in preprosta, sestavine pa imate zagotovo tudi že pri roki.",26,140
Pohane bučke,Brez mesa,1,75,143,7,7,"Brezmesna poletna jed, ki jo postrežemo s skledo paradižnikove solate in/ali različnimi pomakami. V jajca lahko po želji vmešamo nasekljana sveža zelišča, v drobtine pa nariban parmezan in/ali limonino lupinico.",30,182
Pečene breskve s hrustljavim nadevom,Zdravo in vegi,1,30,167,5,7,"Zdrava poletna sladica, ki jo lahko pripravite tudi vnaprej, saj je dobra topla ali hladna. Za piko na i pečenim nadevanim breskvam pri serviranju dodajte kupček hladnega grškega jogurta.",29,159
Bučkini njoki v paradižnikovi omaki,Brez mesa,1,30,185,7,10,"Poletje je čas, ko je bučk v izobilju in jih pripravljamo na nešteto načinov. Tokrat vam ponujam recept za preproste bučkine njoke, ki jih lahko naredimo na zalogo in zamrznemo ter tudi v zimskem času uživamo v poletnih okusih. Njoki so zelo rahli in mehki, postreženi v sočni paradižnikovi omaki pa postanejo okusen, nasiten, a lahko prebavljiv poletni obrok, ki je pripravljen zgolj v pol ure.",66,330
Mediteranski wrap,Na hitro,1,30,102,5,19,"Slastni, bogati in sočni zavitki, ki bodo postali družinski hit. Napolnjeni s piščancem, svežo in popečeno zelenjavo, humusom ter jogurtovo omako. Piščančje meso lahko tudi izpustite ali pa ga nadomestite s popečenim tofujem ali rakci. postopek priprave si oglejte v spodnjem videu.",42,241
Hitri narastek z bučkami in krompirjem,Kosilo,1,55,107,6,10,"Ko boste jed servirali na mizo, boste deležni številnih pohval. Kako tudi ne, saj je narastek pripravljen iz samih dobrih sestavin: bučk, krompirja, suhega mesa in sira, za hrustljavo skorjico pa poskrbijo zlato rjavo zapečene drobtine. Za popolno kosilo zraven postrezite samo še skledo solate.",45,251
Marelična marmelada brez sladkorja,Domači pripravki,1,70,48,4,1,"Sočne in dišeče zrele marelice ...Njihov opojni vonj in okus velikokrat želimo shraniti v kozarčke za hladne zimske dni, da nas vrnejo v topla poletna jutra, ko smo na terasi jedli kruh z maslom in marelično marmelado.Tokrat vam predlagam zelo enostaven recept za pripravo domače marmelade iz marelic, brez dodanega sladkorja, ki je lahko tudi odličen dodatek smutijem, jutranjim kašam in otroškim kašicam.",63,344
Čokoladni mafini z malinami,Brez glutena,1,47,204,9,22,"Čokoladni mafini z malinovo sredico, ki bodo očarali vse ljubitelje čokolade. So bogati, mehki in ravno prav sladki. Maline jim dodajo svežino, stepena smetana pa poskrbi za piko na i.",30,155
Poletna testeninska solata,Solate,1,30,224,5,11,"Če testenine pripravimo v solati, postanejo okusen obrok, ki se odlično prileže tudi v vročih poletnih dneh. Še zlasti, če jim primešamo osvežilne sezonske sestavine, kot so sočni paradižniki in paprika, solato pa začinimo s svežimi zelišči in limoninim sokom. Tokrat so za osnovo uporabljene orzo testenine, ki so podobne rižu in so zelo prijetne na ugriz, če omenjenih testenin nimate pri roki, pa lahko uporabite tudi kakšne druge drobne testenine.",71,381
Mousse z belo čokolado in likerjem,Sladice,1,15,391,5,5,"Odlična sladica za praznovanja in pogostitve, ki vam ne bo vzela veliko časa.",13,65
Poletna zelenjavna lazanja z bučkami,Brez mesa,1,95,187,5,9,"Zdaj je čas zorenja bučk in če ste le malo vrtičkarja ali pa poznate koga, ki to rad počne, vam ne bo težko dobiti domačih bučk. Iz njih lahko pripravite veliko dobrih jedi, tokrat pa vam predlagam recept za nezahtevno zelenjavno lazanjo, ki bo teknila celotni družini. Lahko jo postrežete kot glavno jed ali pa ponudite kot prilogo mesu ali ribi.",61,287
Pecivo s kislo smetano in marelicami,Sladice,1,60,207,8,11,"Marelice med peko postanejo mehke, sladke in sočne ter odlično dopolnijo rahel biskvit, obogaten s kislo smetano. To pecivo lahko pripravite tudi z drugim koščičastim sadjem, na primer s slivami ali češnjami.",32,177
Tortelini v smetanovi omaki z gobami in šunko,Na hitro,1,25,233,7,8,"Popolna in za pripravo zelo preprosta jed, še zlasti primerna za naporne delavnike, ko nimamo veliko časa za kuhanje.",19,99
Toskanska bučkina pita,Zelenjava,1,60,137,5,9,"Scarpaccia je preprosta toskanska pita z bučkami, ki se lahko pripravi na sladek ali slan način. V slani različici poleg bučk potrebujemo še mlado čebulico, moko, mleko, jajce in nariban parmezan, v maso pa lahko po želji vmešamo tudi poljubna sveža zelišča (bazilika, koperc, origano ipd.). Ker pita nima osnove iz krhkega testa, je njena priprava zelo hitra in enostavna, jed pa je dobra topla ali hladna.",67,341
Krompirjeva poletna solata,Piknik in žar,1,50,79,5,11,"Krompirjeva solata, ki je tako slastna, da jo boste morda jedli kar samo. Seveda pa se odlično poda h kateremu koli kosu mesa in bo zagotovo kraljica piknikov ter peke na žaru. Ker vsebuje še cel kup pisane zelenjave, ni samo gurmanska, ampak tudi polna vitaminov.",46,219
Malinove rezine s pudingom,Zdravo in vegi,1,54,219,5,15,"Pecivo je narejeno brez olja, glutena in rafiniranega sladkorja. Sestavine, ki jih za pripravo potrebujete, so preprosto dostopne, recept pa lahko prilagodite tudi glede na sestavine, ki jih imate pri roki. Podlaga je narejena iz ovsenih kosmičev (lahko brezglutenski) in mandljeve moke, temu sledi domača malinova chia marmelada in zatem še plast vanilijevega pudinga.",54,316
Hitro pecivo z jagodno marmelado,Pecivo,1,60,366,6,9,"Ekspresno pripravljena sladica, za katero boste potrebovali le nekaj dobro znanih sestavin. Namesto jagodne lahko seveda uporabite tudi katero drugo marmelado, ki jo imate pri roki.",26,156
Testenine z rakci in špinačo iz ene ponve,Na hitro,1,30,114,6,15,"Po tem kosilu ne boste imeli veliko dela s pomivanjem umazane posode, saj boste tako omako kot tudi testenine skuhali v eni sami ponvi. Rezultat vas bo navdušil, zato bo ta jed hitro postala stalnica na vašem jedilniku.",38,182
Tzatziki omaka s feto,Poletje,1,20,62,3,9,"Če ste kdaj obiskali Grčijo, ste zelo verjetno poskusili tzatziki. Gre za osvežilno grško kumarično solato, ki se tradicionalno postreže k jedem z žara. Odlična je tudi kot omaka, v katero pomakamo koščke pita kruha. Skrivnost dobrega tzatzikija tiči v tem, da kumare dobro odcedimo ter da uporabimo dober grški jogurt, ki jedi doda značilno kremasto strukturo.",57,305
Šakšuka,Kuhinje,1,55,101,5,12,"Šakšuka (orig. shakshuka) je tradicionalna arabska jed, ki zelo spominja na sataraš. Obe jedi sta namreč pripravljeni iz jajc, paprike in paradižnika. A vendar se jedi v sami pripravi in tudi sestavinah bistveno razlikujeta - v shakshuki jajca ostanejo cela, paprike je bistveno manj, za poseben okus pa poskrbi dodatek izbranih začimb. Jed je odlična ideja za slastno kosilo ali večerjo, brez problema pa si jo lahko privoščite tudi za zajtrk.",71,374
Solata s hrustljavim piščancem,Solate,1,45,97,7,11,"Osvežilen in zdrav poletni obrok, pripravljen iz sezonske solate, hrustljave zelenjave in paniranih piščančjih prsi. Slednjih ne ocvremo v olju, ampak spečemo v pečici (ali v cvrtniku na vroč zrak).",30,169
Piščančja stegna v kremni omaki z gobami in špinačo,Kaj skuhati,1,40,130,5,11,"Odlična jed, ki jo lahko postrežete s številnimi prilogami. Pripravljena je v eni ponvi, zato tudi s pomivanjem posode ne boste imeli veliko dela.",24,123
Pavlova rolada,Sladice,1,60,195,9,8,"Hitro pripravljena sladica, ki vas bo presenetila z božanskim okusom, predvsem pa je tako rahla, da se kar topi v ustih. Ker ne vsebuje moke, jo lahko mirno postrežete tudi občutljivim na gluten.",33,163
"Enolončnica z mletim mesom, papriko in krompirjem",Juhe in jedi na žlico,1,55,111,6,15,"Tudi v poletnem času si lahko za kosilo ali večerjo pripravimo kakšno dobro enolončnico. Za piko na i ji dodamo žlico kisle smetane, pri serviranju pa po vrhu potrosimo še malo nasekljanega peteršilja ali drobnjaka.",35,181
Puhaste ameriške palačinke,Sladice,1,35,335,4,8,"V primerjavi z našimi palačinkami, so ameriške palačinke manjše, debelejše in bolj puhaste. Privoščimo si jih lahko za zajtrk, malico, kosilo ali večerjo, za še večji užitek pa jih postrežemo s svežim sadjem in različnimi sladkimi prelivi.",37,203
Klafuti (clafoutis) s češnjami,Sladice,1,60,151,5,11,"Tradicionalna francoska sladica se navadno pripravlja z zrelimi črnimi češnjami, ki jih pred uporabo ne izkoščičimo, saj s tem ves sok češenj ostane v pecivu, med peko pa koščice testu tudi dodajo rahlo aromo, ki spominja na mandlje. Priprava je hitra in enostavna, sladica pa je kot nekakšna kombinacija pudinga in kolača. Navadno jo postrežemo, ko je še malce topla, pred serviranjem pa jo po vrhu potrosimo s sladkorjem v prahu.",71,361
Pisana poletna solata s čičeriko,Fit,1,20,157,4,10,"Solata s čičeriko je odlična izbira za vroče poletne dni, ko si za kosilo ali večerjo najraje privoščimo nekaj hladnega in osvežilnega, pri tem pa tudi ne želimo prižigati kuhalnika ali pečice. Pisana solata vas bo ohladila in osvežila, po njej pa boste tudi lep čas ostali siti.",48,232
Roladna torta z mascarponejem in gozdnimi sadeži,Sladice,2,63,226,11,13,"Ta prefinjena lepotica daje vtis, da je za njeno pripravo potrebnega veliko truda. V resnici pa gre zgolj za bogato rolado, zavito na poseben način. Med plastmi mehkega biskvita se skriva okusna mascarpone krema, obogatena s prijetno kislim prelivom iz gozdnih sadežev. Dobro ohlajena tortica vas bo prijetno osvežila in posladkala v vročih poletnih dneh.",55,301
Naan kruh s česnom,Kuhinje,1,120,416,7,12,"Naan (tudi nan) je ploščat indijski kruhek, ki se navadno postreže kot priloga karijem, odličen pa je tudi v kombinaciji s kakšno bogato zelenjavno ali lečino juho. Za peko naana se tradicionalno uporablja glinena peč, imenovani tandoor, kruhke pa lahko doma spečemo kar v ponvi. Še zlasti dobri bodo prišli, če jih bomo spekli v dobro segreti litoželezni ponvi in še tople premazali s česnovim maslom. S serviranjem naana pa nikar ne čakajte, saj so kruhki najboljši, ko so sveži in še malce topli.",84,416
Čokoladni mousse z jagodami,Sladice,1,65,327,6,11,"Receptov za čokoladni mousse je na spletu ogromno, ampak takega s sladkim krompirjem pa najverjetneje še niste poskusili. V kombinaciji z datlji, čokolado in jagodami je res zelo božanski in okusen. Všeč bo tudi tistim, ki ne marajo zelenjave, zato je to tudi super način, da v svoj jedilnik vnesemo več zelenjave in hranil.",54,271
Sladke sultanove sarme (paša lokum),Pecivo,2,35,224,8,10,"Če ste ljubitelji kremastih sladic s kokosom in čokolado, bo tale poslastica prava za vas. Zanjo potrebujete znane sestavine iz domače shrambe, priprava pa je preprosta vse do zvijanja roladic, pri čemer boste potrebovali malce več spretnosti.",37,207
Krhki žepki s kislo smetano in jagodno marmelado,Pecivo,1,80,287,7,13,"Krhko testo, ki se topi v ustih, napolnjeno z domačo jagodno marmelado. Tako okusno, da kar ne moreš nehati jesti ...",21,97
Češnjev cheesecake v kozarcu,Sladice,1,28,284,5,9,"Odlična sladica, ki jo pripravimo kar 'mimogrede' med kuhanjem kosila.",10,61
Piščančja obara s smetanovimi žličniki,Juhe in jedi na žlico,1,55,147,9,21,"Piščančja obara ali ajmoht je stara in nasitna jed naših mam in babic. Včasih pozabimo, kako iznajdljive so bile v kuhinji, ko so kljub obilici dela znale v en obrok strniti vse kar je bilo potrebno, da smo bili siti in zadovoljni.",42,190
Testenine s tunino omako s smetano,Na hitro,1,20,275,6,8,"Ekspresno hitro pripravljen obrok, za katerega uporabimo poljubne testenine. Omako boste namreč pripravili, medtem ko se bodo testenine kuhale.",19,125
Sočni piščančji fileji z zelenjavo iz pečice,Kosilo,1,45,117,4,11,"Da je meso zelo sočno in okusno, poskrbi okusna marinada, v kateri ga pred peko nekaj časa mariniramo. Prav tako vam tudi svetujemo, da fileje pred peko segrejete na sobno temperaturo, saj se se bodo tako bolj enakomerno spekli. Nežno piščančje meso bo odlično dopolnila pečena zelenjava, če pa potrebujete še kakšno bolj konkretno prilogo, pa vam predlagamo pire krompir, kuskus ali polento.",63,330
Tofujevi hrustavčki,Brez mesa,1,45,213,5,16,"Te zanima, kako na enostaven in preprost način pripraviti dober in hkrati hrustljav tofu? Za hrustljavo skorjico poskrbijo koruzni kosmiči, za odličen okus pa začimbe.",25,143
Gratinirane testenine s tuno,Kaj skuhati,1,40,153,7,10,"Ko so omare prazne in imate na voljo samo tuno, testenine in paradižnik v pločevinki, lahko še vedno pripravite zelo okusno kosilo. Preprosto jed, kot so zapečene testenine s tuno, lahko prilagodite svojemu okusu - dodate zelenjavo, sveža zelišča, olive, kapre in sušene paradižnike, ljubitelji pikantnih okusov pa lahko za začinanje omake uporabite tudi ščepec ali dva mletega čilija.",59,327
Pražen riž z zelenjavo in jajcem,Testenine in žita,1,35,169,8,9,"Ker je jed pripravljena v dobre pol ure, je odlična ideja za hitro kosilo ali večerjo med tednom. Po želji lahko dodate tudi rakce, koščke mesa ali tofu, zelenjave pa nikar ne razkuhajte, saj prav njena hrustljavost poskrbi za odličen okus te priljubljene azijske jedi.",45,225
Špargljeva juha,Zelenjava,1,50,61,6,8,"Kremasta zelenjavna juha, za katero potrebujete samo nekaj sestavin, juha pa vas bo kljub temu navdušila z bogatim, kremnim okusom.",20,112
Polnjene bučke z ajdovo kašo,Brez mesa,1,50,119,7,14,"Lahka brezmesna jed, ki jo lahko postrežete samostojno ali kot prilogo. Nadev je pripravljen z zdravo ajdovo kašo in pisanim naborom zelenjave. Recept je tudi praktičen, saj ga lahko mirno prilagodite vsebini vaših hladilnikov.",34,194
Kokosov biskvit s kislo smetano,Pecivo,1,30,260,5,13,"Topli pomladni dnevi vabijo na sonce, sprehode, posedanje in klepet ob dobri družbi. Če pričakujete obiske, potem je ta kokosova lepotica kot nalašč za to. Narejena v 10 minutah (brez peke) in tako osvežilna, da bodo vsi želeli še en kos.",41,198
Newyorški cheesecake (iz MasterChef Slovenja),MasterChef,1,80,346,8,12,"Američani imajo kar nekaj različic cheesecaka, a za večino velja, da so precej sladke in kalorične. Ena najbolj znanih in priljubljenih različic je New York cheesecake. Za kremo pri tej tortici se uporablja kremni sirček, v katerega se vmešajo jajca in kisla smetana. Rezultat je bogata, gosta, gladka in kremasta struktura tortice.",52,281
Cheesecake brez peke z jagodami (iz MasterChef Slovenija),MasterChef,1,45,299,7,14,"Jagodni cheesecake je sicer enostaven za pripravo, pomembno pa je, da ga pred serviranjem dobro ohladimo. Sestavljen je iz piškotnega dna, nadeva iz kremnega in mascarpone sira, povrhu pa imamo še slastno plast iz jagodnega želeja.",36,196
Nemški cheesecake (iz MasterChef Slovenija),MasterChef,1,124,251,5,12,"V nasprotju z ameriškimi različicami so evropske različice cheesecaka pogosto pripravljene iz skute. Takšna je tudi nemška skutina torta oziroma Käsekuchen. Sicer ima tudi ta več različic, a tradicionalna je pripravljena zgolj iz osnovnih sestavin, struktura pa je mehka in nežna.",41,240
Skutina torta s čokoladnim 'pokrovom' (brez testa),Pecivo,1,65,222,5,8,"Super dobra in hitro pripravljena torta, za katero potrebujete le nekaj osnovnih sestavin. Uporabite lahko katerokoli čokolado, mi smo uporabili kar roza oziroma ruby čokolado. Če je vaša najljubša izbira bela čokolada, ji lahko dodate nekaj kapljic poljubnega barvila.",39,231
Skutino pecivo z borovnicami,Sladice,1,65,211,6,12,"Če ste ljubitelj preprostih in hitro pripravljenih sladic, boste nad tem receptom zagotovo navdušeni. Pecivo je zelo okusno, priprava pa skorajda otročje lahka. Sladico prijetno popestrijo sočne borovnice, ki jih lahko nadomestite tudi z malinami, jagodami ali sadjem iz kompota.",40,240
Lečina palačinka,Zdravo in vegi,1,15,339,3,10,"Tukaj je recept za najboljšo lečino palačinko, ki je odličen vir beljakovin in vlaknin. Njena priprava je zelo preprosta, saj potrebuješ samo lečo in začimbe, predstavlja pa super idejo za tvoj naslednji zajtrk, kosilo ali večerjo. Napolniš jo lahko s poljubno zelenjavo in si tako hitro in enostavno pripraviš uravnotežen in hranljiv obrok.",53,289
Piščančji frikase,Meso,1,65,130,6,12,"Zelo okusna jed, pripravljena v večji ponvi, ki jo največkrat postrežemo z rižem ali testeninami. Frikase (izvirno fricassee) je nekakšen ragu iz mesa in zelenjave, ki se običajno pripravi v beli omaki, narejeni iz smetane in vina. Jed je tako dobra, da boste ponev in krožnike pomazali do zadnje kapljice!",50,257
Oopsie kruh,Brez glutena,1,35,205,2,4,"Oopsie kruhki so zanimiv nadomestek kruha za tiste, ki se prehranjujejo po LCHF metodi. Ne vsebujejo glutena in imajo nizko vsebnost ogljikovih hidratov. Iz njih lahko pripravimo okusne sendviče ali jih uporabimo kot prilogo juham in enolončnicam.",37,211
Kuskus z bučkami in piščancem,Na hitro,1,25,191,5,10,"Hitro pripravljen obrok, ki vas bo vsaj dvakrat navdušil. Prvič z enostavno pripravo, drugič pa z odličnim okusom. Poleg bučk lahko dodate tudi papriko, sušene paradižnike, grah in jajčevce, jed pa za piko na i popestrite s sesekljanim peteršiljem ali meto.",41,217
Zapečen mladi krompir s skuto in kislo smetano,Kosilo,1,60,85,4,8,"Okusna samostojna jed, ki jo v sezoni mladega krompirja pripravimo iz sestavin, ki jih imamo navadno vedno pri roki. Zraven postrežemo skledo zelene solate in že imamo popolno brezmesno kosilo ali večerjo.",32,174
Polenta z baziliko,Priloge,1,15,68,4,5,"Hitro pripravljena priloga s prijetnim okusom in aromo po baziliki. Odlično bo dopolnila zelenjavne, ribje in mesne jedi.",18,104
Hitri zavitki s šparglji in pršutom,Piknik in žar,1,30,125,6,6,"Hitro pripravljeni pomladni zavitki, ki bodo šli v slast na prvomajskih ali katerihkoli drugih zabavah. Navedene sestavine potrebujete za en zavitek oziroma rolico listnatega testa.",25,157
Čokoladna torta z gozdnimi sadeži,Sladice,1,90,246,10,22,"Osvežilna in slastna torta, katere plasti boste pripravili, kot bi mignili. Spodaj je mehek čokoladni biskvit, nad njim osvežilna plast iz gozdnih sadežev, nad njo krema iz bele čokolade in jogurta, na vrhu pa čokoladni preliv.",36,192
Pica polžki iz kvašenega testa,Predjedi in prigrizki,1,95,358,7,11,"Pico imamo vsi radi že zaradi neštetih možnosti okusov, ki jih ponuja, kot tudi zaradi številnih oblik oziroma različnih načinov, na katere jo lahko pripravimo. Testo lahko na primer poljubno obložimo in zvijemo v daljši zvitek, ki ga narežemo na kose in spečemo. Dobimo okusne pica polžke oziroma rolice, ki so primerni za prigrizek, piknik in otroške rojstne dni, ponudimo pa jih lahko tudi kot ptilogo kremni juhi ali solati. Polžki so dobri topli ali hladni, poigrate pa se lahko tudi pri nadevih. Tokrat vam predstavljam osnovni nadev, ki ga sestavljajo paradižnikova mezga, nariban sir in origano, sami pa lahko uporabite tudi raznorazne salame in mesnine, papriko, koruzo, čebulo, olive .... skratka vse, kar vam pade na pamet.",118,617
Cheesecake z limono in mascarponejem,Sladice,1,83,337,6,11,"Čudovita kremasta tortica s prijetnim limoninim okusom in sredico, ki se kar topi v ustih. Ker je najboljša potem, ko se dobro ohladi in se tudi vsi okusi razvijejo, vam svetujemo, da jo pripravite že zvečer in nato čez noč hranite v hladilniku. Cheesecake lahko pred serviranjem okrasite s kupčki sladke meringe, ki jih za piko na i še malo zapečete z brenerjem.",63,301
Krompirjev narastek z jajci in šunko,Kosilo,1,105,109,7,8,"Izvrstna ideja, kako iz ostankov velikonočne šunke, jajc in hrena pripravite novo jed. Z nekaj dodatnimi sestavinami jih spremenite v bogat krompirjev narastek.",23,138
Rigatoni z mesom pečenice in zelenjavno omako,MasterChef,1,40,43,6,15,"Domače testenine v mesno-zelenjavni omaki, ki so Zali Pungeršič na izločitvenem testu prinesle vstopnico na balkon.",16,100
Velikonočna čokoladna pletenica,Velika noč,3,205,417,8,20,"Če se vam zdi, da je peka potice za vas prevelik zalogaj, lahko za praznike spečete tudi to čudovito pletenico. Ko jo boste postavili na mizo, bo privabljala poglede, ko jo boste poskusili, pa se zagotovo ne boste ustavili zgolj pri enem kosu. Kombinacija nežnega in mehkega testa ter sočnega čokoladnega nadeva z oreščki je prava poslastica, sladica pa se izvrstno prileže tako s skodelico toplega napitka kot tudi s kozarcem sladkega belega vina.",74,375
